row_index,column,csv_value,resolved_path,exists
6,red_edge,Vineyard/Multispectral Images\leaf008d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf008d0_5.tif,True
7,blue,Vineyard/Multispectral Images\leaf009d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf009d0_1.tif,True
7,green,Vineyard/Multispectral Images\leaf009d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf009d0_2.tif,True
7,red,Vineyard/Multispectral Images\leaf009d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf009d0_3.tif,True
7,nir,Vineyard/Multispectral Images\leaf009d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf009d0_4.tif,True
7,red_edge,Vineyard/Multispectral Images\leaf009d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf009d0_5.tif,True
8,blue,Vineyard/Multispectral Images\leaf011d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf011d0_1.tif,True
8,green,Vineyard/Multispectral Images\leaf011d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf011d0_2.tif,True
8,red,Vineyard/Multispectral Images\leaf011d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf011d0_3.tif,True
8,nir,Vineyard/Multispectral Images\leaf011d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf011d0_4.tif,True
8,red_edge,Vineyard/Multispectral Images\leaf011d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf011d0_5.tif,True
9,blue,Vineyard/Multispectral Images\leaf012d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf012d0_1.tif,True
9,green,Vineyard/Multispectral Images\leaf012d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf012d0_2.tif,True
9,red,Vineyard/Multispectral Images\leaf012d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf012d0_3.tif,True
9,nir,Vineyard/Multispectral Images\leaf012d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf012d0_4.tif,True
9,red_edge,Vineyard/Multispectral Images\leaf012d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf012d0_5.tif,True
13,blue,Vineyard/Multispectral Images\leaf017d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf017d0_1.tif,True
13,green,Vineyard/Multispectral Images\leaf017d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf017d0_2.tif,True
13,red,Vineyard/Multispectral Images\leaf017d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf017d0_3.tif,True
13,nir,Vineyard/Multispectral Images\leaf017d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf017d0_4.tif,True
13,red_edge,Vineyard/Multispectral Images\leaf017d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf017d0_5.tif,True
14,blue,Vineyard/Multispectral Images\leaf019d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf019d0_1.tif,True
14,green,Vineyard/Multispectral Images\leaf019d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf019d0_2.tif,True
14,red,Vineyard/Multispectral Images\leaf019d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf019d0_3.tif,True
14,nir,Vineyard/Multispectral Images\leaf019d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf019d0_4.tif,True
14,red_edge,Vineyard/Multispectral Images\leaf019d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf019d0_5.tif,True
15,blue,Vineyard/Multispectral Images\leaf020d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf020d0_1.tif,True
15,green,Vineyard/Multispectral Images\leaf020d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf020d0_2.tif,True
15,red,Vineyard/Multispectral Images\leaf020d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf020d0_3.tif,True
15,nir,Vineyard/Multispectral Images\leaf020d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf020d0_4.tif,True
15,red_edge,Vineyard/Multispectral Images\leaf020d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf020d0_5.tif,True
18,blue,Vineyard/Multispectral Images\leaf024d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf024d0_1.tif,True
18,green,Vineyard/Multispectral Images\leaf024d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf024d0_2.tif,True
18,red,Vineyard/Multispectral Images\leaf024d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf024d0_3.tif,True
18,nir,Vineyard/Multispectral Images\leaf024d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf024d0_4.tif,True
18,red_edge,Vineyard/Multispectral Images\leaf024d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf024d0_5.tif,True
20,blue,Vineyard/Multispectral Images\leaf027d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf027d0_1.tif,True
20,green,Vineyard/Multispectral Images\leaf027d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf027d0_2.tif,True
20,red,Vineyard/Multispectral Images\leaf027d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf027d0_3.tif,True
20,nir,Vineyard/Multispectral Images\leaf027d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf027d0_4.tif,True
20,red_edge,Vineyard/Multispectral Images\leaf027d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf027d0_5.tif,True
22,blue,Vineyard/Multispectral Images\leaf029d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf029d0_1.tif,True
22,green,Vineyard/Multispectral Images\leaf029d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf029d0_2.tif,True
22,red,Vineyard/Multispectral Images\leaf029d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf029d0_3.tif,True
22,nir,Vineyard/Multispectral Images\leaf029d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf029d0_4.tif,True
22,red_edge,Vineyard/Multispectral Images\leaf029d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf029d0_5.tif,True
23,blue,Vineyard/Multispectral Images\leaf030d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf030d0_1.tif,True
23,green,Vineyard/Multispectral Images\leaf030d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf030d0_2.tif,True
23,red,Vineyard/Multispectral Images\leaf030d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf030d0_3.tif,True
23,nir,Vineyard/Multispectral Images\leaf030d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf030d0_4.tif,True
23,red_edge,Vineyard/Multispectral Images\leaf030d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf030d0_5.tif,True
24,blue,Vineyard/Multispectral Images\leaf031d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf031d0_1.tif,True
24,green,Vineyard/Multispectral Images\leaf031d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf031d0_2.tif,True
24,red,Vineyard/Multispectral Images\leaf031d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf031d0_3.tif,True
24,nir,Vineyard/Multispectral Images\leaf031d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf031d0_4.tif,True
24,red_edge,Vineyard/Multispectral Images\leaf031d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf031d0_5.tif,True
27,blue,Vineyard/Multispectral Images\leaf037d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf037d0_1.tif,True
27,green,Vineyard/Multispectral Images\leaf037d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf037d0_2.tif,True
27,red,Vineyard/Multispectral Images\leaf037d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf037d0_3.tif,True
27,nir,Vineyard/Multispectral Images\leaf037d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf037d0_4.tif,True
27,red_edge,Vineyard/Multispectral Images\leaf037d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf037d0_5.tif,True
28,blue,Vineyard/Multispectral Images\leaf039d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf039d0_1.tif,True
28,green,Vineyard/Multispectral Images\leaf039d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf039d0_2.tif,True
28,red,Vineyard/Multispectral Images\leaf039d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf039d0_3.tif,True
28,nir,Vineyard/Multispectral Images\leaf039d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf039d0_4.tif,True
28,red_edge,Vineyard/Multispectral Images\leaf039d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf039d0_5.tif,True
31,blue,Vineyard/Multispectral Images\leaf044d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf044d0_1.tif,True
31,green,Vineyard/Multispectral Images\leaf044d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf044d0_2.tif,True
31,red,Vineyard/Multispectral Images\leaf044d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf044d0_3.tif,True
31,nir,Vineyard/Multispectral Images\leaf044d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf044d0_4.tif,True
31,red_edge,Vineyard/Multispectral Images\leaf044d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf044d0_5.tif,True
32,blue,Vineyard/Multispectral Images\leaf045d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf045d0_1.tif,True
32,green,Vineyard/Multispectral Images\leaf045d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf045d0_2.tif,True
32,red,Vineyard/Multispectral Images\leaf045d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf045d0_3.tif,True
32,nir,Vineyard/Multispectral Images\leaf045d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf045d0_4.tif,True
32,red_edge,Vineyard/Multispectral Images\leaf045d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf045d0_5.tif,True
33,blue,Vineyard/Multispectral Images\leaf047d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf047d0_1.tif,True
33,green,Vineyard/Multispectral Images\leaf047d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf047d0_2.tif,True
33,red,Vineyard/Multispectral Images\leaf047d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf047d0_3.tif,True
33,nir,Vineyard/Multispectral Images\leaf047d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf047d0_4.tif,True
33,red_edge,Vineyard/Multispectral Images\leaf047d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf047d0_5.tif,True
34,blue,Vineyard/Multispectral Images\leaf048d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf048d0_1.tif,True
34,green,Vineyard/Multispectral Images\leaf048d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf048d0_2.tif,True
34,red,Vineyard/Multispectral Images\leaf048d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf048d0_3.tif,True
34,nir,Vineyard/Multispectral Images\leaf048d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf048d0_4.tif,True
34,red_edge,Vineyard/Multispectral Images\leaf048d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf048d0_5.tif,True
38,blue,Vineyard/Multispectral Images\leaf053d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf053d0_1.tif,True
38,green,Vineyard/Multispectral Images\leaf053d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf053d0_2.tif,True
38,red,Vineyard/Multispectral Images\leaf053d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf053d0_3.tif,True
38,nir,Vineyard/Multispectral Images\leaf053d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf053d0_4.tif,True
38,red_edge,Vineyard/Multispectral Images\leaf053d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf053d0_5.tif,True
42,blue,Vineyard/Multispectral Images\leaf057d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf057d0_1.tif,True
42,green,Vineyard/Multispectral Images\leaf057d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf057d0_2.tif,True
42,red,Vineyard/Multispectral Images\leaf057d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf057d0_3.tif,True
42,nir,Vineyard/Multispectral Images\leaf057d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf057d0_4.tif,True
42,red_edge,Vineyard/Multispectral Images\leaf057d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf057d0_5.tif,True
43,blue,Vineyard/Multispectral Images\leaf058d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf058d0_1.tif,True
43,green,Vineyard/Multispectral Images\leaf058d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf058d0_2.tif,True
43,red,Vineyard/Multispectral Images\leaf058d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf058d0_3.tif,True
43,nir,Vineyard/Multispectral Images\leaf058d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf058d0_4.tif,True
43,red_edge,Vineyard/Multispectral Images\leaf058d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf058d0_5.tif,True
44,blue,Vineyard/Multispectral Images\leaf059d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf059d0_1.tif,True
44,green,Vineyard/Multispectral Images\leaf059d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf059d0_2.tif,True
44,red,Vineyard/Multispectral Images\leaf059d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf059d0_3.tif,True
44,nir,Vineyard/Multispectral Images\leaf059d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf059d0_4.tif,True
44,red_edge,Vineyard/Multispectral Images\leaf059d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf059d0_5.tif,True
49,blue,Vineyard/Multispectral Images\leaf065d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf065d0_1.tif,True
49,green,Vineyard/Multispectral Images\leaf065d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf065d0_2.tif,True
49,red,Vineyard/Multispectral Images\leaf065d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf065d0_3.tif,True
49,nir,Vineyard/Multispectral Images\leaf065d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf065d0_4.tif,True
49,red_edge,Vineyard/Multispectral Images\leaf065d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf065d0_5.tif,True
50,blue,Vineyard/Multispectral Images\leaf067d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf067d0_1.tif,True
50,green,Vineyard/Multispectral Images\leaf067d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf067d0_2.tif,True
50,red,Vineyard/Multispectral Images\leaf067d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf067d0_3.tif,True
50,nir,Vineyard/Multispectral Images\leaf067d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf067d0_4.tif,True
50,red_edge,Vineyard/Multispectral Images\leaf067d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf067d0_5.tif,True
51,blue,Vineyard/Multispectral Images\leaf069d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf069d0_1.tif,True
51,green,Vineyard/Multispectral Images\leaf069d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf069d0_2.tif,True
51,red,Vineyard/Multispectral Images\leaf069d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf069d0_3.tif,True
51,nir,Vineyard/Multispectral Images\leaf069d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf069d0_4.tif,True
51,red_edge,Vineyard/Multispectral Images\leaf069d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf069d0_5.tif,True
52,blue,Vineyard/Multispectral Images\leaf070d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf070d0_1.tif,True
52,green,Vineyard/Multispectral Images\leaf070d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf070d0_2.tif,True
52,red,Vineyard/Multispectral Images\leaf070d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf070d0_3.tif,True
52,nir,Vineyard/Multispectral Images\leaf070d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf070d0_4.tif,True
52,red_edge,Vineyard/Multispectral Images\leaf070d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf070d0_5.tif,True
53,blue,Vineyard/Multispectral Images\leaf072d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf072d0_1.tif,True
53,green,Vineyard/Multispectral Images\leaf072d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf072d0_2.tif,True
53,red,Vineyard/Multispectral Images\leaf072d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf072d0_3.tif,True
53,nir,Vineyard/Multispectral Images\leaf072d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf072d0_4.tif,True
53,red_edge,Vineyard/Multispectral Images\leaf072d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf072d0_5.tif,True
54,blue,Vineyard/Multispectral Images\leaf073d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf073d0_1.tif,True
54,green,Vineyard/Multispectral Images\leaf073d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf073d0_2.tif,True
54,red,Vineyard/Multispectral Images\leaf073d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf073d0_3.tif,True
54,nir,Vineyard/Multispectral Images\leaf073d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf073d0_4.tif,True
54,red_edge,Vineyard/Multispectral Images\leaf073d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf073d0_5.tif,True
61,blue,Vineyard/Multispectral Images\leaf088d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf088d0_1.tif,True
61,green,Vineyard/Multispectral Images\leaf088d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf088d0_2.tif,True
61,red,Vineyard/Multispectral Images\leaf088d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf088d0_3.tif,True
61,nir,Vineyard/Multispectral Images\leaf088d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf088d0_4.tif,True
61,red_edge,Vineyard/Multispectral Images\leaf088d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf088d0_5.tif,True
65,blue,Vineyard/Multispectral Images\leaf094d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf094d0_1.tif,True
65,green,Vineyard/Multispectral Images\leaf094d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf094d0_2.tif,True
65,red,Vineyard/Multispectral Images\leaf094d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf094d0_3.tif,True
65,nir,Vineyard/Multispectral Images\leaf094d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf094d0_4.tif,True
65,red_edge,Vineyard/Multispectral Images\leaf094d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf094d0_5.tif,True
66,blue,Vineyard/Multispectral Images\leaf095d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf095d0_1.tif,True
66,green,Vineyard/Multispectral Images\leaf095d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf095d0_2.tif,True
66,red,Vineyard/Multispectral Images\leaf095d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf095d0_3.tif,True
66,nir,Vineyard/Multispectral Images\leaf095d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf095d0_4.tif,True
66,red_edge,Vineyard/Multispectral Images\leaf095d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf095d0_5.tif,True
69,blue,Vineyard/Multispectral Images\leaf098d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf098d0_1.tif,True
69,green,Vineyard/Multispectral Images\leaf098d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf098d0_2.tif,True
69,red,Vineyard/Multispectral Images\leaf098d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf098d0_3.tif,True
69,nir,Vineyard/Multispectral Images\leaf098d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf098d0_4.tif,True
69,red_edge,Vineyard/Multispectral Images\leaf098d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf098d0_5.tif,True
71,blue,Vineyard/Multispectral Images\leaf100d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf100d0_1.tif,True
71,green,Vineyard/Multispectral Images\leaf100d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf100d0_2.tif,True
71,red,Vineyard/Multispectral Images\leaf100d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf100d0_3.tif,True
71,nir,Vineyard/Multispectral Images\leaf100d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf100d0_4.tif,True
71,red_edge,Vineyard/Multispectral Images\leaf100d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf100d0_5.tif,True
72,blue,Vineyard/Multispectral Images\leaf102d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf102d0_1.tif,True
72,green,Vineyard/Multispectral Images\leaf102d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf102d0_2.tif,True
72,red,Vineyard/Multispectral Images\leaf102d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf102d0_3.tif,True
72,nir,Vineyard/Multispectral Images\leaf102d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf102d0_4.tif,True
72,red_edge,Vineyard/Multispectral Images\leaf102d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf102d0_5.tif,True
77,blue,Vineyard/Multispectral Images\leaf004d1_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf004d1_1.tif,True
